taz_id,pre_connector_count,post_connector_count,net_change,removed_count,added_count,removed_nodes,added_nodes
24,3,3,0,1,1,545642,1696744
45,5,5,0,1,1,562549,562548
51,2,2,0,1,1,63587,161618
245,1,1,0,1,1,482606,137095
263,2,2,0,2,2,599334|785101,130021|564299
272,1,2,1,0,1,,91849
287,4,4,0,1,1,566339,1728082
288,2,2,0,1,1,566338,89551
295,3,3,0,1,1,80083,80088
354,1,2,1,0,1,,65523
406,2,2,0,1,1,986647,36193
407,1,1,0,1,1,926983,36192
434,3,3,0,1,1,424661,424676
439,3,3,0,1,1,1151002,88187
495,2,2,0,1,1,1376763,61031
496,3,3,0,1,1,1407609,61032
569,4,4,0,1,1,810392,49704
616,2,2,0,1,1,83144,85301
648,1,1,0,1,1,810311,51692
649,3,3,0,1,1,810331,51688
659,1,2,1,1,2,20068,74090|469074
660,2,2,0,1,1,758345,758343
662,2,2,0,2,2,758976|759007,758978|759008
670,2,2,0,1,1,76562,76560
709,3,3,0,1,1,258911,472566
712,4,4,0,1,1,794371,794338
749,3,2,-1,1,0,52830,
751,3,2,-1,2,1,52705|52746,52718
753,3,3,0,1,1,913536,53046
754,2,2,0,1,1,913577,53053
755,3,3,0,1,1,47198,1688131
774,3,2,-1,1,0,222490,
905,2,2,0,1,1,236964,237011
928,3,2,-1,1,0,20460,
932,3,2,-1,1,0,40926,
944,3,2,-1,1,0,42027,
947,1,1,0,1,1,984556,40052
952,1,2,1,0,1,,788309
972,2,2,0,1,1,94632,94630
989,4,3,-1,2,1,43392|43437,43434
992,1,2,1,1,2,43789,95876|557344
