baseline,rank_bucket,original_connectors,retained_in_final,removed_before_final,retention_pct
earliest,1,535,94,441,17.570093457943926
earliest,2,391,40,351,10.230179028132993
earliest,5-6,599,63,536,10.517529215358932
earliest,7-10,353,22,331,6.232294617563739
earliest,3-4,754,83,671,11.007957559681698
stabilized,2,251,88,163,35.059760956175296
stabilized,5-6,231,101,130,43.722943722943725
stabilized,7-10,188,76,112,40.42553191489362
stabilized,1,506,229,277,45.25691699604743
stabilized,3-4,374,145,229,38.77005347593583
